skewness1,kurtosis1,skewness2,kurtosis2,skewness3,kurtosis3,n,rho12,rho23
0,2,0,2,0,2,1000,0.4,0.3
1,2,1,2,1,2,1000,0.4,0.3
0,6,0,6,0,6,1000,0.4,0.3
1,6,1,6,1,6,1000,0.4,0.3
0,18,0,18,0,18,1000,0.4,0.3
1,18,1,18,1,18,1000,0.4,0.3
2,18,2,18,2,18,1000,0.4,0.3
0,-1,0,-1,0,-1,1000,0.6,0.3
0,0,0,0,0,0,1000,0.6,0.3
0,2,0,2,0,2,1000,0.6,0.3
1,2,1,2,1,2,1000,0.6,0.3
0,6,0,6,0,6,1000,0.6,0.3
1,6,1,6,1,6,1000,0.6,0.3
0,18,0,18,0,18,1000,0.6,0.3
1,18,1,18,1,18,1000,0.6,0.3
2,18,2,18,2,18,1000,0.6,0.3
0,-1,0,-1,0,-1,1000,0.8,0.3
0,0,0,0,0,0,1000,0.8,0.3
0,2,0,2,0,2,1000,0.8,0.3
1,2,1,2,1,2,1000,0.8,0.3
0,6,0,6,0,6,1000,0.8,0.3
1,6,1,6,1,6,1000,0.8,0.3
0,18,0,18,0,18,1000,0.8,0.3
1,18,1,18,1,18,1000,0.8,0.3
2,18,2,18,2,18,1000,0.8,0.3
0,-1,0,-1,0,-1,1000,0.2,0.5
0,0,0,0,0,0,1000,0.2,0.5
0,2,0,2,0,2,1000,0.2,0.5
1,2,1,2,1,2,1000,0.2,0.5
0,6,0,6,0,6,1000,0.2,0.5
1,6,1,6,1,6,1000,0.2,0.5
0,18,0,18,0,18,1000,0.2,0.5
1,18,1,18,1,18,1000,0.2,0.5
2,18,2,18,2,18,1000,0.2,0.5
0,-1,0,-1,0,-1,1000,0.4,0.5
0,0,0,0,0,0,1000,0.4,0.5
0,2,0,2,0,2,1000,0.4,0.5
1,2,1,2,1,2,1000,0.4,0.5
0,6,0,6,0,6,1000,0.4,0.5
1,6,1,6,1,6,1000,0.4,0.5
0,18,0,18,0,18,1000,0.4,0.5
1,18,1,18,1,18,1000,0.4,0.5
2,18,2,18,2,18,1000,0.4,0.5
0,-1,0,-1,0,-1,1000,0.6,0.5
0,0,0,0,0,0,1000,0.6,0.5
0,2,0,2,0,2,1000,0.6,0.5
1,2,1,2,1,2,1000,0.6,0.5
0,6,0,6,0,6,1000,0.6,0.5
1,6,1,6,1,6,1000,0.6,0.5
0,18,0,18,0,18,1000,0.6,0.5
1,18,1,18,1,18,1000,0.6,0.5
2,18,2,18,2,18,1000,0.6,0.5
0,-1,0,-1,0,-1,1000,0.8,0.5
0,0,0,0,0,0,1000,0.8,0.5
0,2,0,2,0,2,1000,0.8,0.5
1,2,1,2,1,2,1000,0.8,0.5
0,6,0,6,0,6,1000,0.8,0.5
1,6,1,6,1,6,1000,0.8,0.5
0,18,0,18,0,18,1000,0.8,0.5
1,18,1,18,1,18,1000,0.8,0.5
2,18,2,18,2,18,1000,0.8,0.5
0,-1,0,-1,0,-1,1000,0.2,0.7
0,0,0,0,0,0,1000,0.2,0.7
0,2,0,2,0,2,1000,0.2,0.7
1,2,1,2,1,2,1000,0.2,0.7
0,6,0,6,0,6,1000,0.2,0.7
1,6,1,6,1,6,1000,0.2,0.7
0,18,0,18,0,18,1000,0.2,0.7
1,18,1,18,1,18,1000,0.2,0.7
2,18,2,18,2,18,1000,0.2,0.7
0,-1,0,-1,0,-1,1000,0.4,0.7
0,0,0,0,0,0,1000,0.4,0.7
0,2,0,2,0,2,1000,0.4,0.7
1,2,1,2,1,2,1000,0.4,0.7
0,6,0,6,0,6,1000,0.4,0.7
1,6,1,6,1,6,1000,0.4,0.7
0,18,0,18,0,18,1000,0.4,0.7
1,18,1,18,1,18,1000,0.4,0.7
2,18,2,18,2,18,1000,0.4,0.7
0,-1,0,-1,0,-1,1000,0.6,0.7
0,0,0,0,0,0,1000,0.6,0.7
0,2,0,2,0,2,1000,0.6,0.7
1,2,1,2,1,2,1000,0.6,0.7
0,6,0,6,0,6,1000,0.6,0.7
1,6,1,6,1,6,1000,0.6,0.7
0,18,0,18,0,18,1000,0.6,0.7
1,18,1,18,1,18,1000,0.6,0.7
2,18,2,18,2,18,1000,0.6,0.7
0,-1,0,-1,0,-1,1000,0.8,0.7
0,0,0,0,0,0,1000,0.8,0.7
0,2,0,2,0,2,1000,0.8,0.7
1,2,1,2,1,2,1000,0.8,0.7
0,6,0,6,0,6,1000,0.8,0.7
1,6,1,6,1,6,1000,0.8,0.7
0,18,0,18,0,18,1000,0.8,0.7
1,18,1,18,1,18,1000,0.8,0.7
2,18,2,18,2,18,1000,0.8,0.7
