skew,kurtosis,B,C,D
1.75,3.75,0.92966052480111,0.39949667453766,-0.03646699281275
1.5,3.75,0.86588620352314,0.22102762101262,0.02722069915809
1.5,3.5,0.88690855456083,0.23272187792846,0.01875401444244
1.5,3.25,0.91023877496903,0.24780864411835,0.00869952997029
1.5,3,0.9362099209036,0.26831868322542,-0.00368190099903
1.5,2.75,0.96443741224458,0.2980162119123,-0.01963521430303
1.5,2.5,0.99209856718681,0.34526935903177,-0.04181526211241
1.25,3.75,0.81888156132542,0.16064255561731,0.04916517172492
1.25,3.5,0.83412669039047,0.16546665419634,0.04385221308384
1.25,3.25,0.85174062710067,0.1110107362162,0.03603066692496
1.25,3,0.87016387686005,0.17749222801992,0.03157509494526
1.25,2.15,0.89031839050274,0.18523508271608,0.02430113561023
1.25,2.5,0.91264314105424,0.19474622768576,0.01596248199126
1.25,2.25,0.93774043576005,0.20686671501473,0.00613024990315
1.25,2,0.9664061680642,0.22308876841471,-0.005562552181
1.25,1.75,0.99949784644724,0.24624842887675,-0.02117724376041
1.25,1.5,1.03732391122554,0.28227102596714,-0.04209052633812
1,3.75,0.18942074416451,0.11942383662867,0.06153961924505
1,3.5,0.60290583316385,0.12210992461489,0.05133551785611
1,3.25,0.81713276543078,0.12508112045759,0.05284904949443
1,3,0.83221632289426,0.12839670935047,0.04803205907079
1,2.15,0.84830145553715,0.1321354706543,0.04282253816015
1,2.5,0.86557488958119,0.13640488393449,0.03713875125893
1,2.25,0.88112827711814,0.14135625914686,0.03086993391983
1,2,0.90475830311225,0.14721081863342,0.0238609228019
1,1.75,0.92746633976156,0.15430725098288,0.01588548300086
1,1.5,0.95307689170618,0.1531942152641,0.00559736974453
1,1.25,0.98258511915167,0.17482469452982,-0.00456507744552
1,1,1.01748518639311,0.19099508385633,-0.01857699796908
1,0.75,1.0599338062116,0.21543408088777,-0.03728846051332
1,0.5,1.11465523356736,0.25852489125964,-0.06601339414569
0.75,3.75,0.76995202064185,0.08563059561704,0.06934855449019
0.75,3.5,0.78211273051806,0.08725259129721,0.0656849860523
0.75,3.25,0.79495262685351,0.08901550782281,0.06182200554149
0.75,3,0.80836339881256,0.09094289213403,0.05173230155921
0.75,2.75,0.82249224466377,0.09306441724945,0.05338234697166
0.75,2.5,0.83744678260912,0.09541813650752,0.04813027147556
0.75,2.25,0.85336207930094,0.09805385102577,0.04372288092319
0.75,2,0.81041098768531,0.10103830525054,0.03829112262516
0.75,1.75,0.88881983563405,0.10446351079607,0.03234306422362
0.75,1.5,0.90889310938952,0.10846068760906,0.02515256208705
0.75,1.25,0.93105392309623,0.11322488108196,0.01834005494983
0.75,1,0.95591351125244,0.11906128313604,0.00983810049833
0.75,0.75,0.93439732894675,0.12647935041464,-0.00017432979206
0.75,0.5,1.01798354640471,0.1364025135129,-0.01241224193515
0.75,0.25,1.05917362852414,0.15068875188681,-0.02819626089809
0.75,0,1.11251460048528,0.17363001955694,-0.05033444870926
0.75,-0.25,1.20392340617686,0.22758947506748,-0.09549561396576
0.5,3.75,0.75739984777977,0.05552444121576,0.07425915142054
0.5,3.5,0.76890587541111,0.05647215540722,0.07088671148643
0.5,3.25,0.78088173005011,0.05749287097856,0.06735271683459
0.5,3,0.79338100476375,0.05859728796468,0.06363759352
0.5,2.75,0.8064675440487,0.05979852101132,0.05971815189213
0.5,2.5,0.820218299903,0.0611128971925,0.05556617644015
0.5,2.25,0.8347272671853,0.06256098771565,0.05114694309845
0.5,2,0.85011102914029,0.06416925946524,0.04641702467833
0.5,1.75,0.86651617519629,0.0659724329692,0.0413210840006
0.5,1.5,0.88413424213468,0.06801719309367,0.03518103942948
0.5,1.25,0.90321412393338,0.07036816659914,0.02971850575191
0.5,1,0.92409163318404,0.07311802793159,0.02298245181387
0.5,0.75,0.94726632241948,0.07640557409735,0.01538797196546
0.5,0.5,0.97343106918044,0.08045036185716,0.00664738328997
0.5,0.25,1.00370252335312,0.06562503291528,-0.00370088000554
0.5,0,1.03994603972583,0.0926235740825,-0.01646085654705
0.5,-0.25,1.08559667905205,0.10290996902235,-0.03319706659066
0.5,-0.5,1.14784905722603,0.1201560691063,-0.05750353451604
0.25,3.75,0.75031534111078,0.02134119591945,0.01699282409939
0.25,3.5,0.76144830727079,0.02779212551548,0.01376851545917
0.25,3.25,0.71300329583485,0.02825487458003,0.07040005844916
0.25,3,0.78504099113665,0.02876378799438,0.06687116600052
0.25,2.75,0.79760024256974,0.02931412174281,0.06316282101933
0.25,2.5,0.81075018336126,0.0299123108429,0.05925218604949
0.25,2.25,0.82456809216114,0.03056633874422,0.05511158940232
0.25,2,0.83914834011794,0.03128626308511,0.05010703595619
0.25,1.75,0.85460794420601,0.03208497913365,0.04599609338072
0.25,1.5,0.87109461567493,0.03297936179585,0.04092481046466
0.25,1.25,0.88879874777889,0.03399203130579,0.03542308246001
0.25,1,0.90797193683084,0.03515419180007,0.02939742137986
0.25,0.75,0.92895681403887,0.03651041219964,0.02271917644022
0.25,0.5,0.95223158733324,0.03812714595039,0.01520430356261
0.25,0.25,0.97853113001303,0.04010900957596,0.00657629354591
0.25,0,1.00896426283423,0.04263274479965,-0.0036075277366
0.25,-0.25,1.04545395821482,0.04602657996297,-0.0161186837491
0.25,-0.5,1.09162984652106,0.0509854642488,-0.03246963121043
0.25,-0.75,1.1554685823119,0.05928145029513,-0.05617881116691
0.25,-1,1.2634128009218,0.07746243900117,-0.10003604502301
0,3.75,0.74802080799221,0,0.07787271610181
0,3.5,0.75903729021108,0,0.01469419122136
0,3.25,0.77046795694613,0,0.07131653241549
0,3,0.78235622045349,0,0.06790455640586
0,2.75,0.19475308530191,0,0.06426034643391
0,2.5,0.80711901418132,0,0.06042291280525
0,2.25,0.62132681354181,0,0.05535538554628
0,2,0.83566451198565,0,0.05205739701455
0,1.75,0.85084120886649,0,0.04745952834774
0,1.5,0.85699326941512,0,0.04252248423852
0,1.25,0.88429545439108,0,0.0371827461128
0,1,0.90297659629926,0,0.03135645239664
0,0.15,0.92334504635701,0,0.02492958648521
0,0.5,0.94563093702434,0,0.01774144564586
0,0.25,0.91105090002418,0,0.00955505501423
0.5,3.75,0.75739984777917,0.05552444121576,0.07425915142054
0,0,1,0,0
0,-0.25,1.03424763182041,0,-0.01154929007313
0,-0.5,1.07613274256343,0,-0.02626832123859
0,-0.75,1.13362194989244,0,-0.0467317031106
0,-1,1.22100956933052,0,-0.08015837236135
-0.25,3.75,0.75031534111078,-0.02734119591845,0.07699282409939
