kurtosis,skewness,n,rho12,rho13,rho23,a,b,c,d
-2,-1,50,0.2,0.1,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,50,0.2,0.1,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,50,0.2,0.1,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,50,0.5,0.4,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,50,0.5,0.4,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,50,0.5,0.4,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,50,0.8,0.7,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,50,0.8,0.7,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,50,0.8,0.7,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.2,0.1,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.2,0.1,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.2,0.1,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.5,0.4,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.5,0.4,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.5,0.4,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.8,0.7,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.8,0.7,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-2,-1,250,0.8,0.7,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
-1,0,50,0.2,0.1,0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,50,0.2,0.1,0,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,50,0.2,0.1,-0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,50,0.5,0.4,0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,50,0.5,0.4,0,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,50,0.5,0.4,-0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,50,0.8,0.7,0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,50,0.8,0.7,0,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,50,0.8,0.7,-0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.2,0.1,0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.2,0.1,0,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.2,0.1,-0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.5,0.4,0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.5,0.4,0,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.5,0.4,-0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.8,0.7,0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.8,0.7,0,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
-1,0,250,0.8,0.7,-0.2,0.286422643304076,1.22101886721123,-0.286422643304076,-0.101013970001446
1,0,50,0.2,0.1,0.2,-0.286422643289292,1.22101886719484,0.286422643289292,-0.101013969991456
1,0,50,0.2,0.1,0,-0.286422643289292,1.22101886719484,0.286422643289292,-0.101013969991456
1,0,50,0.2,0.1,-0.2,-0.286422643289292,1.22101886719484,0.286422643289292,-0.101013969991456
1,0,50,0.5,0.4,0.2,-0.286422643289292,1.22101886719484,0.286422643289292,-0.101013969991456
1,0,50,0.5,0.4,0,-0.286422643289292,1.22101886719484,0.286422643289292,-0.101013969991456
1,0,50,0.5,0.4,-0.2,-0.286422643289292,1.22101886719484,0.286422643289292,-0.101013969991456
